Filename,Project,UserID,Protocol,Session,Station,Run,Subject,Trial,Time Start,Time Finish,Duration,Enter State,A1,A2,A3,,Subject,Time,Current State,Transition State,Transition Event,A1 - ,A2 - ,A3 - 
1,P,LFKM,5,44,3,2,LF270_,0,0,150,150,1,0,0,0,,LF270_,0,0,1,0,0,0,0
1,P,LFKM,5,44,3,2,LF270_,0,150,153,3,6,1,0,9,,LF270_,2,1,0,0,0,0,0
1,P,LFKM,5,44,3,2,LF270_,1,153,810,657,2,0,1,0,,LF270_,150,1,6,0,0,0,0
1,P,LFKM,5,44,3,2,LF270_,1,810,817,7,3,0,0,0,,LF270_,153,6,2,0,0,0,0
1,P,LFKM,5,44,3,2,LF270_,1,817,820,3,5,0,0,0,,LF270_,201,2,0,0,0,0,1
1,P,LFKM,5,44,3,2,LF270_,1,820,825,5,4,1,0,0,,LF270_,210,2,0,0,0,0,0
1,P,LFKM,5,44,3,2,LF270_,1,825,1078,253,8,4,0,3,,LF270_,220,2,0,0,0,0,1
1,P,LFKM,5,44,3,2,LF270_,2,1078,1634,556,2,0,1,0,,LF270_,221,2,0,0,0,0,1
1,P,LFKM,5,44,3,2,LF270_,2,1634,1641,7,3,0,0,0,,LF270_,224,2,0,0,0,0,0
1,P,LFKM,5,44,3,2,LF270_,2,1641,1644,3,5,0,0,0,,LF270_,335,2,0,0,0,0,1
1,P,LFKM,5,44,3,2,LF270_,2,1644,1649,5,4,0,0,0,,LF270_,341,2,0,0,0,0,1
1,P,LFKM,5,44,3,2,LF270_,2,1649,1714,65,8,1,0,7,,LF270_,342,2,0,0,0,0,0
1,P,LFKM,5,44,3,2,LF270_,3,1714,2073,359,2,0,1,0,,LF270_,424,2,0,0,1,0,0
1,P,LFKM,5,44,3,2,LF270_,3,2073,2080,7,3,0,0,0,,LF270_,446,2,0,0,0,0,1
1,P,LFKM,5,44,3,2,LF270_,3,2080,2083,3,5,0,0,0,,LF270_,528,2,0,0,0,0,0
1,P,LFKM,5,44,3,2,LF270_,3,2083,2088,5,4,0,1,0,,LF270_,548,2,0,0,0,0,1
1,P,LFKM,5,44,3,2,LF270_,3,2088,2314,226,8,3,0,9,,LF270_,551,2,0,0,0,0,0
1,P,LFKM,5,44,3,2,LF270_,4,2314,3688,1374,2,0,2,0,,LF270_,552,2,0,0,0,0,1
1,P,LFKM,5,44,3,2,LF270_,4,3688,3695,7,3,0,0,0,,LF270_,555,2,0,0,0,0,0
1,P,LFKM,5,44,3,2,LF270_,4,3695,3698,3,5,0,0,0,,LF270_,557,2,0,0,0,0,1
1,P,LFKM,5,44,3,2,LF270_,4,3698,3703,5,4,0,0,0,,LF270_,810,2,3,2,0,1,0
1,P,LFKM,5,44,3,2,LF270_,4,3703,3712,9,8,0,1,0,,LF270_,811,3,0,0,0,0,0
1,P,LFKM,5,44,3,2,LF270_,4,3712,3719,7,3,0,0,0,,LF270_,817,3,5,0,0,0,0
1,P,LFKM,5,44,3,2,LF270_,4,3719,3722,3,5,0,0,0,,LF270_,820,5,4,0,0,0,0
1,P,LFKM,5,44,3,2,LF270_,4,3722,3727,5,4,0,0,0,,LF270_,825,4,8,0,0,0,0
1,P,LFKM,5,44,3,2,LF270_,4,3727,3739,12,8,0,1,0,,LF270_,1071,8,0,0,1,0,0
1,P,LFKM,5,44,3,2,LF270_,4,3739,3746,7,3,0,0,0,,LF270_,1078,8,2,3,0,0,1
1,P,LFKM,5,44,3,2,LF270_,4,3746,3749,3,5,0,0,0,,LF270_,1079,2,0,0,0,0,0
1,P,LFKM,5,44,3,2,LF270_,4,3749,3754,5,4,0,0,0,,LF270_,1080,2,0,0,0,0,1
1,P,LFKM,5,44,3,2,LF270_,4,3754,3789,35,8,0,0,9,,LF270_,1092,2,0,0,0,0,0
1,P,LFKM,5,44,3,2,LF270_,5,3789,4211,422,2,0,2,0,,LF270_,1267,2,0,0,1,0,0
1,P,LFKM,5,44,3,2,LF270_,5,4211,4218,7,3,0,0,0,,LF270_,1381,2,0,0,1,0,0
1,P,LFKM,5,44,3,2,LF270_,5,4218,4221,3,5,0,0,0,,LF270_,1466,2,0,0,1,0,0
1,P,LFKM,5,44,3,2,LF270_,5,4221,4226,5,4,0,0,0,,LF270_,1467,2,0,0,0,0,0
1,P,LFKM,5,44,3,2,LF270_,5,4226,4281,55,8,0,1,0,,LF270_,1509,2,0,0,0,0,1
1,P,LFKM,5,44,3,2,LF270_,5,4281,4288,7,3,0,0,0,,LF270_,1510,2,0,0,0,0,0
1,P,LFKM,5,44,3,2,LF270_,5,4288,4291,3,5,0,0,0,,LF270_,1541,2,0,0,1,0,0
1,P,LFKM,5,44,3,2,LF270_,5,4291,4296,5,4,0,0,0,,LF270_,1634,2,3,2,0,1,0
1,P,LFKM,5,44,3,2,LF270_,5,4296,4317,21,8,0,1,0,,LF270_,1641,3,5,0,0,0,0
1,P,LFKM,5,44,3,2,LF270_,5,4317,4324,7,3,0,0,0,,LF270_,1644,5,4,0,0,0,0
1,P,LFKM,5,44,3,2,LF270_,5,4324,4327,3,5,0,0,1,,LF270_,1649,4,8,0,0,0,0
1,P,LFKM,5,44,3,2,LF270_,5,4327,4332,5,4,0,0,0,,LF270_,1660,8,0,0,0,0,0
1,P,LFKM,5,44,3,2,LF270_,5,4332,4377,45,8,0,0,1,,LF270_,1714,8,2,3,0,0,1
1,P,LFKM,5,44,3,2,LF270_,6,4377,4379,2,2,0,2,0,,LF270_,1728,2,0,0,0,0,0
1,P,LFKM,5,44,3,2,LF270_,6,4379,4386,7,3,0,0,0,,LF270_,1738,2,0,0,0,0,1
1,P,LFKM,5,44,3,2,LF270_,6,4386,4389,3,5,0,0,0,,LF270_,1739,2,0,0,0,0,1
1,P,LFKM,5,44,3,2,LF270_,6,4389,4394,5,4,0,0,0,,LF270_,1772,2,0,0,0,0,0
1,P,LFKM,5,44,3,2,LF270_,6,4394,4401,7,8,2,0,9,,LF270_,1817,2,0,0,0,0,1
1,P,LFKM,5,44,3,2,LF270_,7,4401,5177,776,2,0,1,0,,LF270_,1863,2,0,0,0,0,0
1,P,LFKM,5,44,3,2,LF270_,7,5177,5184,7,3,0,0,0,,LF270_,1864,2,0,0,0,0,1
